Ver. 1.0					
double	double	double	double	double	double #
223	222	224	352	265	223
223	222	223	389	286	222
223	222	223	408	280	222
223	222	223	430	309	222
224	222	223	435	294	222
223	221	223	422	336	222
223	221	223	429	352	221
223	221	223	438	356	222
223	221	223	437	353	222
223	221	222	443	312	221
222	221	223	448	272	221
222	222	223	444	324	222
222	221	222	464	389	221
223	221	222	461	363	221
223	221	222	495	363	221
224	220	222	517	361	221
223	221	222	537	371	221
223	222	223	551	367	221
223	221	222	535	348	221
223	221	222	501	311	221
223	221	223	464	289	222
223	221	223	411	286	222
223	222	224	364	237	222
222	222	224	307	256	223
223	223	224	275	257	223
223	223	224	226	255	223
223	223	224	226	231	224
223	223	224	226	267	223
224	224	224	226	250	224
224	223	224	226	251	223
224	223	224	226	250	224
223	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	224
224	222	224	226	225	224
224	222	224	226	232	224
224	224	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	223
223	223	224	226	225	223
224	223	224	226	224	224
224	223	224	226	225	223
224	224	224	226	224	224
224	223	224	226	225	223
224	223	224	226	243	223
224	223	224	226	254	223
223	223	224	226	262	224
223	223	224	226	250	224
224	223	224	226	249	223
224	223	224	226	240	223
224	223	224	226	247	222
224	222	224	226	231	223
224	223	224	226	234	223
224	223	224	226	224	223
224	223	224	226	225	223
224	223	224	226	224	224
224	223	224	227	225	223
224	222	224	226	225	223
224	223	224	226	225	224
225	223	224	226	225	223
223	223	224	226	225	224
224	223	224	226	225	224
224	223	224	226	224	223
224	223	224	226	225	224
224	223	224	226	225	223
225	223	224	226	225	224
224	223	224	226	224	223
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	224	223
224	222	224	226	225	223
225	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	224
224	222	224	226	225	224
223	223	224	226	224	223
224	223	224	226	225	224
225	223	224	226	225	223
224	223	224	227	225	223
224	223	224	255	224	223
224	223	224	265	224	223
223	222	224	278	224	223
224	223	224	282	225	223
225	223	224	290	224	223
224	223	224	292	224	223
224	223	224	307	224	223
224	222	224	326	224	223
224	222	224	321	224	223
225	222	224	330	224	223
223	222	224	334	224	223
224	223	224	349	224	223
224	222	224	370	224	222
224	222	224	372	223	223
223	222	224	374	224	222
224	222	224	374	224	223
224	222	223	382	224	222
224	223	224	389	224	222
224	222	224	371	224	222
224	222	224	356	224	223
224	222	224	357	224	223
224	222	224	359	224	223
